English,Malay,Science,Maths,History,Geography,Life Skills,Religion,Arts,major,happiness
6,1,6,5,5,2,3,1,2,Arts,1
5,5,3,4,3,2,4,6,2,Science,1
4,3,3,1,3,5,1,2,4,Social,1
1,1,2,6,6,5,3,1,4,Economics,2
5,6,3,6,3,6,4,2,4,Science,2
1,2,5,4,4,1,6,2,3,Social,2
4,4,3,3,4,2,4,6,2,Arts,1
1,2,3,5,2,1,3,2,5,Economics,1
4,4,4,6,1,1,6,4,2,Economics,1
1,5,1,3,1,5,5,1,2,Science,1
1,4,5,3,6,3,1,3,1,Economics,1
3,6,6,3,1,4,4,1,4,Economics,1
3,5,5,3,1,2,2,4,2,Arts,2
4,2,6,5,1,1,5,2,6,Science,1
3,3,3,5,4,2,6,4,2,Science,1
5,1,2,3,6,3,1,2,3,Science,2
2,3,1,5,5,2,2,4,1,Economics,1
2,3,6,6,5,3,4,1,6,Economics,2
2,3,6,3,5,4,5,1,6,Social,2
2,6,6,6,3,6,2,5,1,Science,2
4,3,1,2,4,3,6,2,4,Economics,1
4,5,3,3,4,3,3,2,2,Arts,1
3,3,6,6,5,1,5,3,5,Arts,2
1,1,3,1,5,4,3,3,3,Arts,2
4,3,4,2,5,6,2,5,2,Science,2
1,6,1,5,1,1,6,5,5,Arts,1
6,2,2,4,4,4,1,1,6,Social,2
5,2,3,1,3,2,4,5,4,Science,2
6,1,5,3,2,2,1,2,3,Science,1
2,5,1,6,2,6,1,2,1,Arts,1
1,1,5,6,4,1,3,6,5,Social,2
6,2,6,5,5,2,1,1,1,Arts,2
2,2,1,3,5,2,5,3,6,Science,1
4,4,1,5,3,1,3,2,1,Science,2
4,5,2,6,5,1,3,5,3,Social,2
4,3,1,4,6,3,3,6,3,Science,1
2,6,3,2,5,2,6,5,6,Science,2
5,6,6,3,5,2,6,3,4,Arts,1
2,6,1,6,1,4,6,3,1,Economics,1
4,3,5,2,2,4,6,5,5,Arts,2
3,1,2,4,3,5,2,2,3,Science,2
3,2,4,3,6,2,3,6,4,Science,2
6,6,6,6,6,5,1,5,5,Economics,1
1,1,2,2,4,1,6,6,1,Social,2
1,4,2,6,6,2,5,2,1,Economics,2
4,6,6,5,1,3,6,4,3,Social,2
3,5,2,4,3,5,2,6,6,Economics,2
3,4,5,2,5,4,6,2,3,Arts,2
1,1,3,5,4,3,1,3,3,Social,2
4,4,2,2,5,6,6,1,1,Economics,2
6,3,5,3,3,6,1,6,5,Economics,2
2,5,2,6,5,2,6,4,1,Economics,2
3,2,4,1,5,1,4,2,5,Arts,2
5,4,2,4,1,5,4,2,3,Social,1
6,5,1,1,1,5,5,3,3,Arts,1
2,3,2,2,2,3,4,5,5,Science,1
2,1,1,1,5,5,2,4,4,Science,2
1,4,3,2,3,6,5,4,4,Arts,1
5,6,6,4,6,3,2,4,1,Science,2
6,4,6,2,4,3,2,6,5,Science,2
1,6,1,5,6,4,2,2,1,Arts,2
1,5,4,2,2,4,6,5,2,Social,2
5,3,1,4,6,4,6,4,6,Social,2
3,3,6,3,2,6,1,2,5,Economics,1
3,6,3,1,5,3,1,1,5,Science,1
4,1,3,5,1,6,5,6,3,Economics,1
5,4,4,2,6,3,5,6,2,Social,1
3,2,3,6,4,1,2,5,3,Arts,2
4,5,4,4,1,1,5,3,5,Economics,1
6,5,3,4,4,2,5,5,6,Economics,2
1,6,3,2,6,1,1,3,1,Social,1
1,6,2,1,2,1,6,1,6,Social,1
3,1,2,6,6,1,3,2,3,Science,1
5,3,6,2,4,6,5,4,2,Arts,2
3,2,4,4,6,2,3,5,5,Science,1
3,3,6,3,1,2,5,1,3,Social,2
2,1,3,2,3,1,6,2,6,Arts,1
5,5,2,4,1,3,3,6,3,Arts,2
2,6,4,2,5,3,2,4,5,Economics,2
4,1,1,4,2,6,3,4,6,Social,2
2,6,6,5,5,4,6,3,6,Economics,2
4,1,3,1,3,3,4,3,5,Social,1
2,1,5,4,5,3,6,4,6,Social,2
5,2,5,1,6,1,3,4,2,Science,2
2,6,1,6,5,4,2,3,4,Science,1
2,2,6,2,3,6,1,4,2,Arts,2
2,6,5,1,3,4,2,6,2,Social,2
6,6,6,4,4,6,6,5,5,Economics,2
6,4,4,3,1,3,5,1,3,Science,2
3,6,3,6,4,3,5,1,3,Science,1
2,4,3,6,3,2,6,1,2,Social,2
2,4,1,5,1,3,1,2,2,Economics,2
4,1,5,2,1,6,1,1,4,Social,2
1,2,4,6,2,1,5,2,3,Arts,1
6,5,6,3,5,2,5,3,1,Science,1
5,5,5,6,1,2,5,1,1,Social,2
3,2,1,3,2,3,1,3,4,Arts,1
4,5,3,6,4,4,5,2,5,Arts,2
5,2,4,5,1,6,2,1,5,Science,1
